id,series,talks_list,website,series_info
198,"Observatório Nacional",[[talks]](/cosmotalks/talks?series=198),[[website]](https://www.youtube.com/@observatorionacional/streams),""
199,"Parity Violation from Home",[[talks]](/cosmotalks/talks?series=199),[[website]](https://www.youtube.com/@CosmoParityViolation/videos),"<a href=""https://parity.cosmodiscussion.com/"">parity.cosmodiscussion.com</a>"
20,"PASCOS 2015",[[talks]](/cosmotalks/talks?series=20),[[website]](https://indico.ictp.it/event/a14275/other-view?view=ictptimetable),""
145,"PASCOS 2021",[[talks]](/cosmotalks/talks?series=145),[[website]](https://indico.ibs.re.kr/event/357/timetable/#all.detailed),""
50,"Perimeter Institute",[[talks]](/cosmotalks/talks?series=50),[[website]](https://pirsa.org),"slides typically available for Perimeter talks"
177,"Phenomenology Symposium series: U of Pittsburgh",[[talks]](/cosmotalks/talks?series=177),[[website]](https://www.youtube.com/@universityofpittsburghphys5134/videos),"<a href=""https://inspirehep.net/conferences?sort=datedesc&size=25&page=1&start_date=all&q=series.name%3A%22PHENO%22"">series on inspire</a>"
197,"Physics Latam",[[talks]](/cosmotalks/talks?series=197),[[website]](https://www.youtube.com/@PhysicsLatam/videos),"<a href=""https://www.physicslatam.com/seminar"">upcoming and past seminars website</a>"
97,"PPC Interconnections between Particle Physics and Cosmology workshops",[[talks]](/cosmotalks/talks?series=97),[[website]](https://inspirehep.net/conferences?sort=datedesc&size=25&page=1&start_date=all&q=series.name%3A%22PPC%22),""
183,"Presidency University",[[talks]](/cosmotalks/talks?series=183),[[website]](https://www.youtube.com/@schoolofastrophysics-presi214/videos),""
40,"PSW Science",[[talks]](/cosmotalks/talks?series=40),[[website]](https://pswscience.org/),""
162,QFTCS2022,[[talks]](/cosmotalks/talks?series=162),[[website]](https://www.youtube.com/channel/UCGkfvBoSmSr-akr5gYDugyg/videos),""
83,"QMUL Cosmology Seminars",[[talks]](/cosmotalks/talks?series=83),[[website]](https://www.youtube.com/channel/UCSqkcW7CMS5X7TArwO5Vpbw/videos),""
46,"Quantum Aspects of Space-Time and Matter",[[talks]](/cosmotalks/talks?series=46),[[website]](https://www.youtube.com/playlist?list=PLzW8AJcryManrTsG-4U4z9ip1J1dWoNgd),""
165,"Quantum Cosmos Seminars",[[talks]](/cosmotalks/talks?series=165),[[website]](https://www.youtube.com/channel/UCxs_jpl5FjDrmkjg7QJKcMQ/videos),""
143,"QUARKS Seminars and Workshops",[[talks]](/cosmotalks/talks?series=143),[[website]](https://www.youtube.com/c/QUARKSSeminarsWorkshops/videos),""
